pickup_date,Daily_trip_count,Daily_revenue,Daily_average_trip_distance
2022-01-01,20360,447287.2199999217,4.079781434184688
2022-01-02,17112,420463.5899999351,4.796165848527323
2022-01-03,17156,399834.6799999395,4.529498134763363
2022-01-04,16387,363826.09999995155,4.125392079087096
2022-01-05,15558,336542.2699999583,3.9916480267386487
2022-01-06,17119,347652.7299999531,3.530845259653011
2022-01-07,16738,325283.76999995974,3.3085858525510776
2022-01-08,22810,431556.9099999276,3.221323980710214
2022-01-09,16609,341247.54999995633,3.7641236678908925
2022-01-10,14433,294617.90999996656,3.5286690223792636
2022-01-11,14655,280248.25999997114,3.1785991129307187
2022-01-12,15506,297141.2999999666,3.0980813878498545
2022-01-13,16801,332191.3899999561,3.2703958097732286
2022-01-14,20931,420464.8199999346,3.3326429697577757
2022-01-15,23442,429876.3399999268,2.995136507123941
2022-01-16,18793,355882.9299999478,3.2771787367636804
2022-01-17,14699,327430.41999996564,4.1921464045173185
2022-01-18,16305,330292.5699999582,3.408215271389134
2022-01-19,16527,316266.48999996105,3.0795225993828304
2022-01-20,17634,336948.739999956,3.0974367698763774
2022-01-21,21343,398665.56999993813,2.885578878320773
2022-01-22,25606,456622.7399999211,2.808865109739894
2022-01-23,19291,380504.46999994543,3.449635581359183
2022-01-24,15225,301913.2199999663,3.360282430213469
2022-01-25,16529,316559.119999962,3.078778510496724
2022-01-26,18169,340314.08999995387,2.8769381914249514
2022-01-27,19185,382440.38999994594,3.10743236903832
2022-01-28,20234,406055.0399999362,3.0644756350697087
2022-01-29,7551,124895.7600000075,2.3506264070983978
2022-01-30,17016,346085.3499999554,3.5514292430653467
2022-01-31,1,11.88,1.59
